,prices,market_caps,total_volumes
2023-12-29 06:01:07.805,1.0602503709788806e-05,6248189665.915581,169483670.98480234
2023-12-29 07:01:00.155,1.0586201433315449e-05,6241621645.4121065,166206967.04678065
2023-12-29 08:00:42.015,1.0511148813285365e-05,6205782714.524219,160973286.43072784
2023-12-29 09:00:44.050,1.0595315808018236e-05,6244691580.485705,159906571.47513446
2023-12-29 10:00:27.199,1.0620906256117888e-05,6254037178.241881,160173079.57777795
2023-12-29 11:00:13.068,1.0619219894587222e-05,6261040005.544328,160483031.19338217
2023-12-29 12:00:21.609,1.0648229118030457e-05,6280954058.540824,160153433.17754743
2023-12-29 13:00:20.463,1.0641465196542105e-05,6269293091.69559,158522694.52799428
2023-12-29 14:00:36.346,1.0648614315145696e-05,6276778604.474815,149020654.7056783
2023-12-29 15:00:11.015,1.0668140546405308e-05,6291001590.298112,138924324.5752497
2023-12-29 16:00:30.382,1.0490905515712339e-05,6176243714.641405,130070430.90478158
2023-12-29 17:00:40.481,1.0366524502271404e-05,6134270093.120624,138002565.80521297
2023-12-29 18:00:38.004,1.0343261114267096e-05,6094853370.226955,133570896.52551876
2023-12-29 19:00:27.613,1.0441467799436844e-05,6152319976.87465,131971126.18411337
2023-12-29 20:00:31.803,1.0454409817768773e-05,6160978243.700521,130659933.15442549
2023-12-29 21:00:08.232,1.041771401238311e-05,6141151062.924708,128765633.91491666
2023-12-29 22:01:26.122,1.0394335255858835e-05,6134704381.038866,129444793.2027311
2023-12-29 23:00:12.622,1.0374280596093782e-05,6114092759.428496,131927845.9555678
2023-12-30 00:00:22.954,1.0421967025495538e-05,6139217875.789202,133251528.40410869
2023-12-30 01:00:13.317,1.0464199312040371e-05,6164721143.692497,132071858.36695606
2023-12-30 02:00:20.796,1.051367026970804e-05,6195222591.787323,119478488.48600775
2023-12-30 03:01:10.089,1.0451695805459535e-05,6157159297.754171,122434640.32087885
